PH_ID	OS_ID
PH01000002G1850	OS01G0923000
PH01000002G1960	OS12G0169400
PH01000002G2090	OS01G0923700
PH01000002G2210	OS01G0923900
PH01000002G2300	OS01G0924000
PH01000002G2380	OS01G0924300
PH01000002G2470	OS01G0924400
PH01000002G2500	OS09G0507800
PH01000002G2510	OS09G0507800
PH01000002G2620	OS01G0925000
PH01000002G2660	OS01G0925300
PH01000002G2670	OS01G0925400
PH01000002G2710	OS01G0925600
PH01000002G2720	OS01G0925700
PH01000002G2740	OS01G0925800
PH01000002G2770	OS08G0155550
PH01000002G2790	OS01G0926300
PH01000002G2800	OS01G0926400
PH01000002G2830	OS01G0926600
PH01000002G2840	OS01G0926600
PH01000002G2860	OS01G0926800
PH01000002G2920	OS01G0926800
PH01000002G2930	OS01G0927000
PH01000002G2980	OS01G0927300
PH01000002G3050	OS01G0927400
PH01000002G3060	OS01G0927500
PH01000002G3110	OS01G0927600
PH01000002G3170	OS01G0928000
PH01000002G3240	OS01G0928100
PH01000002G3260	OS01G0928300
PH01000002G3290	OS01G0928800
PH01000002G3370	OS01G0929000
PH01000002G3460	OS01G0929500
PH01000002G3470	OS01G0930200
PH01000002G3590	OS01G0930500
PH01000002G3730	OS01G0813700
PH01000002G3860	OS01G0931100
PH01000002G3900	OS01G0931200
PH01000002G3910	OS01G0931300
PH01000002G3920	OS01G0931400
PH01000002G3940	OS01G0931600
PH01000002G3950	OS01G0931600
PH01000002G3990	OS01G0932600
PH01000002G4080	OS01G0933200
PH01000002G4150	OS01G0933500
PH01000002G4240	OS01G0934000
PH01000002G4250	OS01G0934100
PH01000002G4280	OS01G0934200
PH01000002G4340	OS01G0934400
PH01000003G0060	OS08G0126300
PH01000003G0100	OS08G0125800
PH01000003G0190	OS08G0121900
PH01000003G0200	OS08G0121800
PH01000003G0390	OS08G0120500
PH01000003G0400	OS08G0120500
PH01000003G0410	OS08G0120200
PH01000003G0420	OS08G0120000
PH01000003G0430	OS08G0119800
PH01000003G0470	OS08G0119700
PH01000003G0570	OS08G0119500
PH01000003G0620	OS08G0119000
PH01000003G0730	OS08G0338500
PH01000003G0760	OS08G0118100
PH01000003G0780	OS08G0118000
PH01000003G0790	OS08G0117900
PH01000003G0810	OS08G0117700
PH01000003G0840	OS08G0117300
PH01000003G0860	OS08G0117100
PH01000003G0870	OS08G0117000
PH01000003G0910	OS08G0116900
PH01000003G0960	OS08G0116700
PH01000003G1050	OS08G0116400
PH01000003G1230	OS08G0115800
PH01000003G1440	OS08G0115200
PH01000003G1590	OS08G0114300
PH01000003G1660	OS08G0114200
PH01000003G1680	OS08G0114100
PH01000003G1780	OS08G0113800
PH01000003G1880	OS03G0254200
PH01000003G2020	OS01G0132100
PH01000003G2040	OS08G0113200
PH01000003G2120	OS08G0113100
PH01000003G2320	OS08G0112800
PH01000003G2490	OS01G0238200
PH01000003G2570	OS01G0238600
PH01000003G2600	OS05G0244500
PH01000003G2650	OS05G0241000
PH01000003G2710	OS01G0234900
PH01000003G2770	OS05G0238400
PH01000003G3040	OS05G0220500
PH01000003G3120	OS05G0222200
PH01000003G3180	OS05G0223000
PH01000003G3390	OS05G0228400
PH01000003G3550	OS05G0230600
PH01000003G3560	OS03G0767800
PH01000003G3570	OS05G0230600
PH01000003G3590	OS05G0230600
PH01000003G3600	OS04G0652500
PH01000003G3650	OS05G0230700
PH01000003G3670	OS05G0230900
PH01000003G3690	OS05G0230900
PH01000003G3730	OS05G0231700
PH01000003G3770	OS05G0232500
PH01000003G3800	OS05G0232700
PH01000003G3870	OS07G0284700
PH01000003G3960	OS05G0235800
PH01000003G4200	OS05G0214400
PH01000003G4210	OS05G0213900
PH01000003G4220	OS03G0422800
PH01000003G4260	OS05G0213500
PH01000003G4290	OS01G0978400
PH01000004G0040	OS01G0869900
PH01000004G0140	OS01G0869600
PH01000004G0220	OS06G0286351
PH01000004G0240	OS06G0286351
PH01000004G0260	OS06G0286351
PH01000004G0290	OS01G0869300
PH01000004G0400	OS01G0868900
PH01000004G0500	OS01G0868300
PH01000004G0570	OS01G0868000
PH01000004G0650	OS01G0867800
PH01000004G0740	OS01G0867700
PH01000004G0870	OS01G0867300
PH01000004G0950	OS01G0866800
PH01000004G0980	OS01G0866600
PH01000004G1010	OS01G0866400
PH01000004G1020	OS01G0866300
PH01000004G1040	OS11G0155900
PH01000004G1210	OS01G0865600
PH01000004G1260	OS01G0865100
PH01000004G1430	OS05G0440800
PH01000004G1570	OS01G0863400
PH01000004G1580	OS05G0442400
PH01000004G1630	OS01G0862800
PH01000004G1680	OS01G0862300
PH01000004G1720	OS01G0862000
PH01000004G1750	OS01G0861700
PH01000004G1840	OS01G0861000
PH01000004G1850	OS01G0860900
PH01000004G1860	OS01G0860800
PH01000004G2190	OS05G0443800
PH01000004G2200	OS01G0859600
PH01000004G2220	OS01G0859500
PH01000004G2230	OS01G0859400
PH01000004G2550	OS01G0846900
PH01000004G2710	OS01G0858000
PH01000004G2830	OS01G0857700
PH01000004G2870	OS01G0857500
PH01000004G2930	OS01G0857400
PH01000004G3000	OS01G0857300
PH01000004G3020	OS01G0857200
PH01000004G3030	OS01G0857000
PH01000004G3040	OS01G0856900
PH01000004G3220	OS01G0856600
PH01000004G3230	OS01G0856500
PH01000004G3260	OS01G0856000
PH01000004G3370	OS01G0855600
PH01000004G3560	OS01G0855200
PH01000004G3640	OS01G0855000
PH01000004G3680	OS01G0854800
PH01000004G3830	OS01G0854000
PH01000004G3970	OS03G0816600
PH01000004G4070	OS01G0853700
PH01000004G4080	OS01G0933600
PH01000004G4100	OS01G0853400
PH01000004G4410	OS04G0234600
PH01000004G4460	OS02G0749900
PH01000004G4470	OS01G0852200
PH01000005G0010	OS11G0581700
PH01000005G0050	OS11G0581900
PH01000005G0150	OS11G0582300
PH01000005G0850	OS11G0572700
PH01000005G0960	OS03G0788800
PH01000005G0970	OS11G0572400
PH01000005G1020	OS11G0572100
PH01000005G1030	OS11G0571900
PH01000005G1170	OS11G0568600
PH01000005G1180	OS11G0568500
PH01000005G1190	OS04G0606000
PH01000005G1200	OS11G0162000
PH01000005G1210	OS11G0568300
PH01000005G1220	OS02G0795300
PH01000005G1230	OS01G0104000
PH01000005G1260	OS11G0564900
PH01000005G1300	OS11G0558300
PH01000005G1320	OS11G0558300
PH01000005G1420	OS11G0557700
PH01000005G1450	OS11G0557300
PH01000005G1460	OS03G0232400
PH01000005G1500	OS11G0552600
PH01000005G1530	OS11G0552500
PH01000005G1580	OS11G0552100
PH01000005G1660	OS12G0484900
PH01000005G1770	OS11G0551350
PH01000005G1790	OS11G0550900
PH01000005G1800	OS11G0550800
PH01000005G1820	OS11G0549900
PH01000005G1830	OS11G0549700
PH01000005G1850	OS11G0549650
PH01000005G1950	OS11G0549620
PH01000005G2010	OS11G0546300
PH01000005G2020	OS04G0527500
PH01000005G2030	OS11G0546100
PH01000005G2110	OS11G0546000
PH01000005G2160	OS11G0545700
PH01000005G2200	OS11G0544800
PH01000005G2210	OS11G0544700
PH01000005G2240	OS11G0544600
PH01000005G2310	OS05G0589200
PH01000005G2340	OS05G0589000
PH01000005G2360	OS01G0605100
PH01000005G2470	OS05G0588300
PH01000005G2480	OS01G0607900
PH01000005G2540	OS07G0418100
PH01000005G2550	OS01G0904400
PH01000005G2560	OS02G0133400
PH01000005G2580	OS01G0614300
PH01000005G2590	OS05G0587400
PH01000005G2820	OS05G0587100
PH01000005G2870	OS05G0587000
PH01000005G2880	OS05G0586900
PH01000005G2890	OS05G0586600
PH01000005G2900	OS01G0621200
PH01000005G2970	OS05G0586400
PH01000005G3030	OS05G0586200
PH01000005G3110	OS05G0585900
PH01000005G3140	OS12G0279000
PH01000005G3210	OS01G0621900
PH01000005G3220	OS05G0585500
PH01000005G3390	OS05G0300700
PH01000005G3400	OS01G0919400
PH01000005G3500	OS09G0133200
PH01000005G3600	OS09G0133600
PH01000005G3610	OS09G0135800
PH01000005G3620	OS09G0135700
PH01000005G3640	OS09G0135400
PH01000005G3710	OS09G0134500
PH01000005G3860	OS09G0108400
PH01000005G4060	OS09G0249000
PH01000005G4070	OS09G0248300
PH01000005G4150	OS09G0248300
PH01000006G0210	OS12G0501700
PH01000006G0350	OS07G0599201
PH01000006G0380	OS12G0502100
PH01000006G0390	OS12G0502200
PH01000006G0400	OS12G0502300
PH01000006G0430	OS12G0502500
PH01000006G0450	OS12G0502700
PH01000006G0460	OS12G0502800
PH01000006G0610	OS12G0506400
PH01000006G0660	OS12G0506500
PH01000006G0760	OS12G0507200
PH01000006G0810	OS12G0507300
PH01000006G0880	OS12G0507400
PH01000006G0910	OS12G0507500
PH01000006G0920	OS12G0507700
PH01000006G0940	OS11G0173500
PH01000006G0960	OS12G0508200
PH01000006G1010	OS04G0531500
PH01000006G1030	OS12G0508300
PH01000006G1150	OS08G0117900
PH01000006G1230	OS06G0150500
PH01000006G1420	OS08G0407200
PH01000006G1440	OS04G0460200
PH01000006G1450	OS05G0140600
PH01000006G1570	OS06G0237300
PH01000006G1670	OS12G0511000
PH01000006G2010	OS12G0511300
PH01000006G2340	OS12G0514100
PH01000006G2370	OS03G0196400
PH01000006G2390	OS12G0514400
PH01000006G2400	OS12G0514400
PH01000006G2410	OS12G0514500
PH01000006G2500	OS02G0690700
PH01000006G2600	OS12G0514900
PH01000006G2790	OS05G0558900
PH01000006G2800	OS12G0515400
PH01000006G3040	OS12G0515600
PH01000006G3200	OS09G0392100
PH01000006G3240	OS12G0527800
PH01000006G3340	OS12G0528300
PH01000006G3360	OS11G0642800
PH01000006G3520	OS12G0529400
PH01000006G3570	OS12G0529900
PH01000006G3600	OS12G0530100
PH01000006G3670	OS12G0533500
PH01000006G3730	OS06G0168500
PH01000007G0830	OS03G0230300
PH01000007G0890	OS03G0230500
PH01000007G1150	OS04G0548700
PH01000007G1340	OS03G0231800
PH01000007G1470	OS03G0232000
PH01000007G1520	OS03G0232200
PH01000007G1740	OS03G0232500
PH01000007G1750	OS03G0232600
PH01000007G1880	OS03G0232800
PH01000007G1960	OS03G0232900
PH01000007G2100	OS03G0233500
PH01000007G2380	OS03G0225700
PH01000007G2390	OS03G0225600
PH01000007G2400	OS03G0225500
PH01000007G2410	OS09G0508900
PH01000007G2600	OS03G0225100
PH01000007G2620	OS03G0769050
PH01000007G2760	OS03G0224300
PH01000007G2860	OS03G0224200
PH01000007G2920	OS03G0223900
PH01000007G2970	OS04G0278200
PH01000007G3010	OS06G0305200
PH01000007G3080	OS02G0766700
PH01000007G3150	OS03G0223700
PH01000007G3320	OS12G0244100
PH01000007G3390	OS03G0223000
PH01000007G3570	OS03G0222800
PH01000007G3590	OS10G0567500
PH01000007G3600	OS03G0222700
PH01000007G3610	OS03G0222600
PH01000007G3680	OS03G0221800
PH01000008G0200	OS09G0414600
PH01000008G0420	OS02G0280400
PH01000008G0500	OS08G0437300
PH01000008G0920	OS08G0436800
PH01000008G1020	OS08G0436200
PH01000008G1030	OS08G0436200
PH01000008G1080	OS08G0434000
PH01000008G1140	OS08G0434300
PH01000008G1310	OS08G0434700
PH01000008G1430	OS08G0435700
PH01000008G1440	OS08G0435725
PH01000008G1510	OS08G0435800
PH01000008G1540	OS08G0436000
PH01000008G1560	OS04G0461000
PH01000008G2080	OS08G0431500
PH01000008G2090	OS08G0431300
PH01000008G2100	OS08G0431200
PH01000008G2130	OS01G0526200
PH01000008G2140	OS08G0431100
PH01000008G2210	OS08G0430700
PH01000008G2240	OS12G0150200
PH01000008G2370	OS08G0430500
PH01000008G2420	OS08G0430100
PH01000008G2470	OS08G0430000
PH01000008G2620	OS09G0403000
PH01000008G2640	OS11G0641800
PH01000008G2650	OS11G0657100
PH01000008G2700	OS08G0428900
PH01000008G2960	OS08G0428400
PH01000008G3210	OS08G0427900
PH01000009G0030	OS01G0812050
PH01000009G0060	OS01G0812000
PH01000009G0150	OS01G0811400
PH01000009G0160	OS01G0811300
PH01000009G0260	OS01G0812200
PH01000009G0270	OS08G0332700
PH01000009G0300	OS03G0322500
PH01000009G0320	OS01G0813100
PH01000009G0350	OS01G0813400
PH01000009G0360	OS01G0813500
PH01000009G0410	OS01G0813900
PH01000009G0420	OS01G0814100
PH01000009G0430	OS05G0489000
PH01000009G0510	OS01G0814400
PH01000009G0530	OS01G0814700
PH01000009G0540	OS01G0814800
PH01000009G0590	OS01G0814900
PH01000009G0600	OS01G0815100
PH01000009G0810	OS01G0815700
PH01000009G0830	OS05G0486700
PH01000009G0840	OS01G0815900
PH01000009G0850	OS01G0816000
PH01000009G0870	OS01G0816100
PH01000009G0890	OS12G0178000
PH01000009G0970	OS01G0816400
PH01000009G1080	OS01G0817000
PH01000009G1240	OS01G0817700
PH01000009G1290	OS05G0482400
PH01000009G1300	OS05G0482400
PH01000009G1330	OS01G0818000
PH01000009G1370	OS01G0818100
PH01000009G1380	OS01G0818200
PH01000009G1390	OS01G0818300
PH01000009G1450	OS01G0818400
PH01000009G1660	OS06G0713800
PH01000009G1670	OS03G0396000
PH01000009G1680	OS05G0480400
PH01000009G1800	OS01G0819400
PH01000009G1900	OS05G0320700
PH01000009G1940	OS01G0820400
PH01000009G2100	OS01G0820400
PH01000009G2130	OS01G0821700
PH01000009G2140	OS01G0821800
PH01000009G2190	OS01G0821900
PH01000009G2290	OS01G0822200
PH01000009G2360	OS01G0822800
PH01000009G2390	OS01G0822900
PH01000009G2460	OS01G0823100
PH01000009G2490	OS01G0823400
PH01000009G2500	OS01G0823400
PH01000009G2540	OS01G0823500
PH01000009G2680	OS01G0823900
PH01000009G2750	OS11G0157400
PH01000009G2810	OS01G0824500
PH01000009G2840	OS01G0824600
PH01000009G2950	OS01G0824800
PH01000009G3360	OS01G0825700
PH01000009G3370	OS01G0825800
PH01000010G0100	OS03G0136200
PH01000010G0110	OS03G0115300
PH01000010G0140	OS06G0112000
PH01000010G0220	OS03G0136900
PH01000010G0280	OS03G0137200
PH01000010G0320	OS03G0137400
PH01000010G0350	OS03G0137500
PH01000010G0450	OS10G0564200
PH01000010G0460	OS03G0137800
PH01000010G0610	OS03G0138500
PH01000010G0620	OS03G0138600
PH01000010G0640	OS03G0138700
PH01000010G0700	OS10G0467600
PH01000010G0730	OS03G0139100
PH01000010G0740	OS03G0139200
PH01000010G0760	OS03G0139400
PH01000010G0770	OS03G0139500
PH01000010G0850	OS03G0140100
PH01000010G1020	OS06G0643300
PH01000010G1070	OS12G0156900
PH01000010G1080	OS03G0140700
PH01000010G1090	OS10G0466200
PH01000010G1120	OS10G0465800
PH01000010G1130	OS03G0141200
PH01000010G1220	OS03G0142500
PH01000010G1380	OS07G0517700
PH01000010G1410	OS03G0142800
PH01000010G1470	OS07G0414200
PH01000010G1530	OS03G0143100
PH01000010G1560	OS10G0463100
PH01000010G1590	OS03G0143600
PH01000010G1610	OS03G0143700
PH01000010G1820	OS03G0144300
PH01000010G1850	OS03G0144800
PH01000010G1950	OS03G0145200
PH01000010G1960	OS12G0639700
PH01000010G2010	OS03G0145500
PH01000010G2050	OS10G0456800
PH01000010G2350	OS03G0147400
PH01000010G2470	OS01G0267100
PH01000010G2480	OS03G0147900
PH01000010G2510	OS03G0148300
PH01000010G2530	OS10G0447100
PH01000010G2550	OS03G0148400
PH01000010G2650	OS03G0148700
PH01000010G2680	OS03G0148800
PH01000010G2770	OS03G0149200
PH01000010G2810	OS03G0149400
PH01000010G2820	OS03G0149700
PH01000010G2990	OS04G0691500
PH01000010G3030	OS03G0151400
PH01000010G3080	OS03G0151700
PH01000010G3100	OS03G0151800
PH01000010G3140	OS03G0152000
PH01000010G3150	OS10G0440100
PH01000010G3180	OS03G0152600
PH01000011G0130	OS05G0393200
PH01000011G0270	OS05G0393400
PH01000011G0320	OS12G0619700
PH01000011G0540	OS05G0394200
PH01000011G0550	OS05G0394200
PH01000011G0660	OS02G0141100
PH01000011G1090	OS11G0212801
PH01000011G1110	OS05G0395000
PH01000011G1210	OS05G0395300
PH01000011G1240	OS05G0396900
PH01000011G1270	OS05G0397300
PH01000011G1330	OS05G0397650
PH01000011G1350	OS05G0397700
PH01000011G1390	OS05G0397900
PH01000011G1470	OS05G0398100
PH01000011G1530	OS05G0398800
PH01000011G1610	OS05G0399400
PH01000011G1700	OS09G0332700
PH01000011G1710	OS06G0144800
PH01000011G1730	OS05G0400400
PH01000011G1850	OS05G0400700
PH01000011G1880	OS05G0400800
PH01000011G1890	OS05G0401000
PH01000011G1900	OS05G0401100
PH01000011G1960	OS10G0116900
PH01000011G1970	OS03G0238800
PH01000011G2050	OS05G0402300
PH01000011G2080	OS05G0402800
PH01000011G2100	OS05G0402800
PH01000011G2110	OS05G0402800
PH01000011G2120	OS03G0730800
PH01000011G2220	OS05G0402900
PH01000011G2340	OS05G0404000
PH01000011G2580	OS02G0106700
PH01000011G2670	OS05G0405000
PH01000011G2710	OS05G0405600
PH01000011G2810	OS05G0403400
PH01000011G2980	OS05G0405900
PH01000011G2990	OS05G0405900
PH01000011G3000	OS04G0616000
PH01000011G3020	OS05G0406000
PH01000011G3210	OS05G0406800
PH01000012G0010	OS10G0499600
PH01000012G0070	OS10G0500300
PH01000012G0140	OS10G0500700
PH01000012G0150	OS07G0598500
PH01000012G0160	OS10G0501300
PH01000012G0190	OS10G0501500
PH01000012G0240	OS08G0110200
PH01000012G0330	OS10G0502000
PH01000012G0350	OS10G0502100
PH01000012G0400	OS10G0502400
PH01000012G0420	OS04G0684500
PH01000012G0490	OS10G0502600
PH01000012G0560	OS10G0502900
PH01000012G0660	OS10G0503200
PH01000012G0700	OS07G0244200
PH01000012G0750	OS10G0503500
PH01000012G0830	OS03G0111200
PH01000012G0930	OS02G0305800
PH01000012G0950	OS10G0504100
PH01000012G0960	OS10G0504200
PH01000012G1010	OS10G0504600
PH01000012G1020	OS10G0505700
PH01000012G1060	OS10G0506800
PH01000012G1090	OS05G0492200
PH01000012G1110	OS05G0492200
PH01000012G1160	OS10G0507500
PH01000012G1170	OS10G0507600
PH01000012G1250	OS10G0507800
PH01000012G1300	OS10G0508000
PH01000012G1310	OS06G0104300
PH01000012G1330	OS10G0508100
PH01000012G1530	OS10G0508400
PH01000012G1560	OS10G0508700
PH01000012G1620	OS10G0509000
PH01000012G1630	OS10G0509100
PH01000012G1640	OS10G0509200
PH01000012G1880	OS10G0510200
PH01000012G1890	OS10G0510300
PH01000012G1900	OS10G0510400
PH01000012G1930	OS10G0510500
PH01000012G2000	OS10G0510700
PH01000012G2150	OS10G0511400
PH01000012G2160	OS10G0511400
PH01000012G2230	OS03G0112600
PH01000012G2360	OS10G0512500
PH01000012G2370	OS10G0512700
PH01000012G2420	OS06G0228200
PH01000012G2490	OS10G0513300
PH01000012G2610	OS10G0516100
PH01000012G2620	OS10G0516200
PH01000012G2650	OS10G0516300
PH01000012G2690	OS10G0516400
PH01000012G2900	OS10G0516600
PH01000012G2960	OS10G0516800
PH01000013G0080	OS03G0318600
PH01000013G0090	OS03G0318500
PH01000013G0130	OS03G0318500
PH01000013G0260	OS03G0317000
PH01000013G0420	OS03G0316200
PH01000013G0550	OS03G0315800
PH01000013G0830	OS03G0314800
PH01000013G0860	OS03G0314700
PH01000013G1010	OS03G0314200
PH01000013G1020	OS03G0314100
PH01000013G1030	OS03G0313800
PH01000013G1080	OS03G0441500
PH01000013G1110	OS04G0208600
PH01000013G1210	OS03G0313600
PH01000013G1310	OS03G0313300
PH01000013G1330	OS03G0313300
PH01000013G1480	OS03G0313000
PH01000013G1500	OS03G0312600
PH01000013G1620	OS03G0311600
PH01000013G1690	OS06G0678650
PH01000013G1830	OS03G0310800
PH01000013G1920	OS03G0310500
PH01000013G1960	OS04G0661900
PH01000013G2230	OS03G0309200
PH01000013G2240	OS03G0309200
PH01000013G2450	OS03G0309000
PH01000013G2460	OS03G0308900
PH01000013G2480	OS03G0308800
PH01000013G2540	OS03G0308500
PH01000013G2600	OS03G0308100
PH01000013G2610	OS03G0308000
PH01000013G2620	OS03G0308000
PH01000013G2730	OS03G0307700
PH01000013G2740	OS03G0307400
PH01000014G0030	OS02G0785800
PH01000014G0040	OS03G0672700
PH01000014G0070	OS06G0192500
PH01000014G0090	OS06G0192500
PH01000014G0130	OS06G0192600
PH01000014G0180	OS06G0192800
PH01000014G0210	OS06G0192900
PH01000014G0220	OS06G0193000
PH01000014G0340	OS06G0193400
PH01000014G0360	OS06G0194000
PH01000014G0390	OS06G0194900
PH01000014G0400	OS02G0456000
PH01000014G0460	OS06G0195600
PH01000014G0470	OS06G0195600
PH01000014G0540	OS06G0196600
PH01000014G0610	OS02G0141100
PH01000014G0960	OS06G0198700
PH01000014G0980	OS02G0106300
PH01000014G0990	OS06G0199100
PH01000014G1010	OS06G0199200
PH01000014G1060	OS06G0199500
PH01000014G1100	OS06G0202100
PH01000014G1170	OS06G0202700
PH01000014G1200	OS06G0202400
